text_clean,IsToxic
people would take step back make case anyone except two people situation lump mess take matter hand make kind protest selfish without rational thought investigation guy video heavily emotional hype want hear get hear press never reasonable discussion kudo smerconish keep level whole time let masri make fool dare tear city protest make dishonor entire incident hate way since police brutality become epidemic wish everyone would stop pretend like know exactly measurable amount people honestly witness incident none clue way whole issue swing grand jury informed trust majority rule right course action let also thank police officer america actually serve protect even bit jerk pull respect job know someone many people pout hold accountable action people hate police need officer two around emergency,0
law enforcement train shoot apprehend train shoot kill thank wilson kill punk bitch,1
reckon black life matter banner hold white cunt kinda patronizing ironically racist could come somethin well white folk give self pride look nice black people always race actually whole world pussyfootin around fear racist fuckin daft man,1
large number people like police officer call criminal reason police officer fact criminal like police officer testament good work police officer protect public child family danger hessitate call help call police time people stop complain start give police respect hard work dedication often require put life line serve public,0
arab dude absolutely right shoot extra time shoot attack would stop attack shoot twice still attack six time shoot kill opinion,0
people facebook tie isis terrorist group muslim extremist,1
check tube post black man epic rant ferguson rioter although message deliver childish cartoon ish emotion one african american get,1
would love see pussy staten island spit cop would love see happen mike brown strong arm thug people burn ferguson eric garnier nothing wrong choke death protest mafia control staten island burn car nothing,1
agree protestor,0
mike browns father make say booshit,1
guy right point judge speak ability judge messege racist fuck suck dick like always medium focus thing matter cnn shit,1
moral story reach cops gun probably gunna get shoot white black,0
masri close get isis america,1
know chimper compassion mud pump heart,1
believe whatever wanna believe care say bassem masri idiot,1
bassem masri terrorist part isis,1
would waist time try reason police spit thug try defend criminal brown lose matter grand jury make decision live,1
wish masri dead,1
thus collapse usa two possibility consider whereby one boil dictatorship evil reprisal possibility may new reconstruction people fundamentally conscious responsibility attain government really everything bring effective valuable new start whether actually occur currently extremely questionable presently totalitarian manner everything direct towards interest economic military political cultural well towards strict fundamentalist religious sectarian base enormous lie devious misanthropic criminal felonious machination every imaginable regard also mean population usa spy upon secret service even severely within neighbourhood forth every possible manner restrict freedom addition violence emerge form openly covertly,0
actually shout fire crowded theater christopher hitchen demonstrate talk free speech look interviewee correct cop serve public way around consistent serve public police department represent public race ethnicity rank hire bunch big tough black guy police department black shoot death puny white guy felt humiliate get bitch slap teenager,1
think kill,1
legalize marijuana problem stop,0
word provocateur,0
lol happen greedy rich slime keep mass uneducated ignorant deal stupid create try reason irrational exercise futility get popcorn ready boil fall talk fall walk,1
legal system inherently racist cnn reporter,1
look ready cut head must isis sympathizer say maybe care issue hand want loot store fuck shit,1
lol shoot apprehend idiot,1
case overshadow cop murder kid fake sword saratoga spring utah much outraged mike brown case murder happen utah deal cop provide non lethal weapon shooting utah unwarranted run know run lunge police fake sword take opportunity immediate action right run shoot time back know large group cop corrupt murderer nothing new though run police many time teen cop pursue find hide put bullet back end life say paper saratoga spring black population would say,0
man zionist jew look ypu see jewness face cnn employ zionist sympathiser neo con racist wolf blitzer emplpyee,1
blood street worried word get tired way mainstream media treat like idiot follow condescending irrelevant distract disparage narrative step cnn,0
stop criminal get shoot simple,1
like turtle,0
massri need education,1
cnn mother fucker fuck peace shit,1
statement think ali sheep butt fucker masri take fight syria,1
hahahahaha guy bassmaster character always teste bassmaster semi retarded character cross eyed like guy,1
childish cop sleep night,0
completely idiot minutrs fame,1
hope god guy still fall banana tailpipe bullshit news give,1
cnn bullcrap,1
alright entire case crap people say white people racist call bad name racist would like call extensive investigation prove boy death self defense however defend whole thing defend helpless citizen ferguson boy die care white black care people ferguson treat town really care incident would hold memorial express feeling help get justice really matter boy dead something grand jury decide,0
guy know happen hand,0
ayy cnn lookin like pussy,1
smirconnish even handed guy world guy masri idiot,1
masri total idiot know evidence come conclusion instead clue attack cop try take gun rush finally get car get shot duhh would masri take brown icecream beat ground defend btw brown momma gramma violently assault people sell shirt memory brown put two people hospital steal money trash shop probably charge know sort mentality brown raise thug wanna cause death,1
take break bassem make much sense debate far,0
let reverse roll black racist cop rich white community prove racist white man get piss intolerable condition unload several clip high caliber ammo point blank range audacity question authority americans need full alert elitist agenda set president question authority elitist upper class problem prison culture cia drug cartel export job import cheap labor elitist get bail support corrupt system turn around get past race issue govt incite divide work class hardly call work class govt put everyone work homeless class let get western history role big money play clusterfuck design destroy nation destroy point get back ask,1
moron talk peaceful burn nation flag idiot even though suppose old knowledge baby make noise,1
cia agent provocateur operative kick start riot new american civil war african american rehearsed ebonic transparent,0
someone shoot black idiot would make giggle inside,1
people sick man speak truth mad try justify young boy nothing shoot kill smh devil disease earth glad sun burn ass extinction planet back half animal half devil cave beast,1
world change mad police dam isis come time kill fauck,1
cnn propaganda part people let hear ferguson,0
waste time talk idiot know sayin believe want believe yup hell fact evidence loser,1
news fucktard puppet player pay liar,1
bassem right express freedom expression right amendment constitution think cnn competent,0
guy riot work orr let guess fuck day nothing,1
masri right say well,0
anyone tell racist white man shoot black man racist black man shoot white man case turn instantly racist one make sense,0
racial profiling police intimidation rob store get kill result fucking excuse man black people get arrest commit strong arm robbery black people get violent fear getting put like animal actually say worry warrant lol fucking piece human garbage,1
wrong mother fucker shoot apprehend,1
