Text,CleanText,ProcessedText,IsToxic,split
"If only people would just take a step back and not make this case about them, because it wasn't about anyone except the two people in that situation.  To lump yourself into this mess and take matters into your own hands makes these kinds of protests selfish and without rational thought and investigation.  The guy in this video is heavily emotional and hyped up and wants to be heard, and when he gets heard he just presses more and more.  He was never out to have a reasonable discussion.  Kudos to the Smerconish for keeping level the whole time and letting Masri make himself out to be a fool.  How dare he and those that tore that city down in protest make this about themselves and to dishonor the entire incident with their own hate.  By the way, since when did police brutality become an epidemic?  I wish everyone would just stop pretending like they were there and they knew EXACTLY what was going on, because there's no measurable amount of people that honestly witnessed this incident, so none of us have a clue on which way this whole issue should have swung.  The grand jury were the most informed, we have to trust the majority rule was the right course of action and let it be.  Also, thank you to the 99.999% of police officers in America that actually serve & protect, even if you're a bit of a jerk when you pull me over, I respect your job and know that someone has to do it and that many people are going to pout about being held accountable to their actions.  People hate police until they need an officer or two around in an emergency.",if only people would just take a step back and not make this case about them because it wasnt about anyone except the two people in that situation to lump yourself into this mess and take matters into your own hands makes these kinds of protests selfish and without rational thought and investigation the guy in this video is heavily emotional and hyped up and wants to be heard and when he gets heard he just presses more and more he was never out to have a reasonable discussion kudos to the smerconish for keeping level the whole time and letting masri make himself out to be a fool how dare he and those that tore that city down in protest make this about themselves and to dishonor the entire incident with their own hate by the way since when did police brutality become an epidemic i wish everyone would just stop pretending like they were there and they knew exactly what was going on because theres no measurable amount of people that honestly witnessed this incident so none of us have a clue on which way this whole issue should have swung the grand jury were the most informed we have to trust the majority rule was the right course of action and let it be also thank you to the of police officers in america that actually serve protect even if youre a bit of a jerk when you pull me over i respect your job and know that someone has to do it and that many people are going to pout about being held accountable to their actions people hate police until they need an officer or two around in an emergency,people would take step back make case wasnt anyone except two people situation lump mess take matter hand make kind protest selfish without rational thought investigation guy video heavily emotional hyped want heard get heard press never reasonable discussion kudos smerconish keeping level whole time letting masri make fool dare tore city protest make dishonor entire incident hate way since police brutality become epidemic wish everyone would stop pretending like knew exactly going there measurable amount people honestly witnessed incident none u clue way whole issue swung grand jury informed trust majority rule right course action let also thank police officer america actually serve protect even youre bit jerk pull respect job know someone many people going pout held accountable action people hate police need officer two around emergency,0,train
Law enforcement is not trained to shoot to apprehend.  They are trained to shoot to kill.  And I thank Wilson for killing that punk bitch.,law enforcement is not trained to shoot to apprehend they are trained to shoot to kill and i thank wilson for killing that punk bitch,law enforcement trained shoot apprehend trained shoot kill thank wilson killing punk bitch,1,train
"
Dont you reckon them 'black lives matter' banners being held by white cunts is  kinda patronizing and ironically racist. could they have not come up with somethin better.. or is it just what white folks do to give them selves pride. 'ooo look at me im being nice for the black people' why does it always have to be about race actually the whole world is pussyfootin around for fear of being racist. its fuckin daft man.",dont you reckon them black lives matter banners being held by white cunts is kinda patronizing and ironically racist could they have not come up with somethin better or is it just what white folks do to give them selves pride ooo look at me im being nice for the black people why does it always have to be about race actually the whole world is pussyfootin around for fear of being racist its fuckin daft man,dont reckon black life matter banner held white cunt kinda patronizing ironically racist could come somethin better white folk give self pride ooo look im nice black people always race actually whole world pussyfootin around fear racist fuckin daft man,1,train
"There are a very large number of people who do not like police officers. They are called Criminals and its the reason we have police officers. The fact that Criminals do not like police officers is a testament to the good work that police officers do in protecting the public. When our children or our family are in danger, we do not hessitate to call for help, and we call the Police. Its about time people stopped complaining and started to give the Police some respect for the hard work and dedication that often requires them to put their lives on the line, to serve the public.",there are a very large number of people who do not like police officers they are called criminals and its the reason we have police officers the fact that criminals do not like police officers is a testament to the good work that police officers do in protecting the public when our children or our family are in danger we do not hessitate to call for help and we call the police its about time people stopped complaining and started to give the police some respect for the hard work and dedication that often requires them to put their lives on the line to serve the public,large number people like police officer called criminal reason police officer fact criminal like police officer testament good work police officer protecting public child family danger hessitate call help call police time people stopped complaining started give police respect hard work dedication often requires put life line serve public,0,test
"The Arab dude is absolutely right, he should have not been shot 6 extra time. Shoot him once if hes attacking you and that would stop his attack. Shoot him twice if he's still attacking you, but six times? That is shoot to kill in my opinion. ",the arab dude is absolutely right he should have not been shot extra time shoot him once if hes attacking you and that would stop his attack shoot him twice if hes still attacking you but six times that is shoot to kill in my opinion,arab dude absolutely right shot extra time shoot he attacking would stop attack shoot twice he still attacking six time shoot kill opinion,0,train
here people his facebook is https://www.facebook.com/bassem.masri.520 he has ties with isis and other terrorist groups he is a muslim extremist ,here people his facebook is he has ties with isis and other terrorist groups he is a muslim extremist,people facebook tie isi terrorist group muslim extremist,1,train
"Check out this you tube post. ""Black man goes on an epic rant against Ferguson rioters.""

Although his message is delivered with childish, cartoon-ish emotions.... He is one of the very few African American's who gets it.",check out this you tube post black man goes on an epic rant against ferguson rioters although his message is delivered with childish cartoonish emotions he is one of the very few african americans who gets it,check tube post black man go epic rant ferguson rioter although message delivered childish cartoonish emotion one african american get,1,train
I would LOVE to see this pussy go to Staten Island and spit on a cop. I would LOVE to see it happen. Mike Brown was a strong arm thug and people are burning Ferguson down. Eric Garnier did nothing wrong and was choked to death. No protest on mafia controlled Staten Island. No burning cars. Nothing. ,i would love to see this pussy go to staten island and spit on a cop i would love to see it happen mike brown was a strong arm thug and people are burning ferguson down eric garnier did nothing wrong and was choked to death no protest on mafia controlled staten island no burning cars nothing,would love see pussy go staten island spit cop would love see happen mike brown strong arm thug people burning ferguson eric garnier nothing wrong choked death protest mafia controlled staten island burning car nothing,1,train
I agree with the protestor.,i agree with the protestor,agree protestor,0,train
mike browns father was made to say that boooshit,mike browns father was made to say that boooshit,mike brown father made say boooshit,1,train
the guy on the right is so on point. don't judge on his speaking abilities but judge him on his messege! you racist fucks can suck my dick. and like always the media focusing on the thing that don't matter. CNN is shit.,the guy on the right is so on point dont judge on his speaking abilities but judge him on his messege you racist fucks can suck my dick and like always the media focusing on the thing that dont matter cnn is shit,guy right point dont judge speaking ability judge messege racist fuck suck dick like always medium focusing thing dont matter cnn shit,1,test
"moral of the story, don't reach for a cops gun because you're probably gunna get shot, white or black",moral of the story dont reach for a cops gun because youre probably gunna get shot white or black,moral story dont reach cop gun youre probably gunna get shot white black,0,train
Masri is about as close as you can get to ISIS in America.  ,masri is about as close as you can get to isis in america,masri close get isi america,1,train
We all know with the chimpers there is no compassion in their mud pumping hearts. ,we all know with the chimpers there is no compassion in their mud pumping hearts,know chimpers compassion mud pumping heart,1,test
"""I can believe whatever I wanna believe, I don't care what any of them have to say.""
Bassem Masri, you are an idiot.",i can believe whatever i wanna believe i dont care what any of them have to say bassem masri you are an idiot,believe whatever wan na believe dont care say bassem masri idiot,1,train
Bassem Masri is a terrorist part of isis,bassem masri is a terrorist part of isis,bassem masri terrorist part isi,1,train
I would'nt waist my time trying to reason with this Police spitting Thug.  Trying to defend Criminal Brown is a losing matter.  The Grand Jury has made they're decision.   Live with it.,i wouldnt waist my time trying to reason with this police spitting thug trying to defend criminal brown is a losing matter the grand jury has made theyre decision live with it,wouldnt waist time trying reason police spitting thug trying defend criminal brown losing matter grand jury made theyre decision live,1,train
"I wish mr masri was dead,,",i wish mr masri was dead,wish mr masri dead,1,test
